case,model1_ts,model2_ts,ppl_diff,avgnll_diff,total_diff
Math_45,20251218_075532,20251218_075543,0.015366803076998226,0.015102852535474024,0.030469655612472252
Jsoup_76,20251218_075532,20251218_075543,0.01543551098237872,0.01488963201934216,0.03032514300172088
Closure_133,20251218_075532,20251218_075543,0.015514520504416929,0.014744736334160458,0.030259256838577386
Closure_13,20251218_075532,20251218_075543,0.015207891012993136,0.014854472735643932,0.030062363748637067
Math_64,20251218_075532,20251218_075543,0.01507431932085268,0.014957084611293827,0.030031403932146507
JacksonDatabind_13,20251218_075532,20251218_075543,0.014967511908864584,0.014796175916693492,0.029763687825558077
Cli_27,20251218_075532,20251218_075543,0.014892671385802858,0.014720002479354212,0.02961267386515707
Closure_39,20251218_075532,20251218_075543,0.01490276020637471,0.014654130693361304,0.029556890899736014
Collections_6,20251218_075532,20251218_075543,0.014802362748234987,0.014672665883259602,0.02947502863149459
Math_67,20251218_075532,20251218_075543,0.014787609838722737,0.014555840878873258,0.029343450717595997
Chart_1,20251218_075532,20251218_075543,0.01466411145840496,0.014544009374772711,0.02920812083317767
Time_17,20251218_075532,20251218_075543,0.014829658965130665,0.014319302485857156,0.02914896145098782
Closure_84,20251218_075532,20251218_075543,0.014682306801566902,0.014301591358918567,0.02898389816048547
Math_37,20251218_075532,20251218_075543,0.014525719636249379,0.01437437126447774,0.02890009090072712
Math_70,20251218_075532,20251218_075543,0.014510791535891743,0.014312973753972488,0.02882376528986423
Math_10,20251218_075532,20251218_075543,0.014382347575337961,0.01405090747982016,0.028433255055158122
Jsoup_82,20251218_075532,20251218_075543,0.014261145475419568,0.014080185366498278,0.028341330841917846
Closure_106,20251218_075532,20251218_075543,0.014345939709130118,0.01396097154175999,0.028306911250890108
JacksonCore_4,20251218_075532,20251218_075543,0.014226019164868431,0.01402700256260276,0.02825302172747119
Closure_105,20251218_075532,20251218_075543,0.014159327170702785,0.014029071247367957,0.02818839841807074
Jsoup_26,20251218_075532,20251218_075543,0.014149211314479437,0.013844523412078175,0.027993734726557612
Lang_24,20251218_075532,20251218_075543,0.01392160051759972,0.013812624375932593,0.027734224893532312
Compress_7,20251218_075532,20251218_075543,0.014050153104355978,0.01367012184935731,0.02772027495371329
JacksonCore_2,20251218_075532,20251218_075543,0.013912856334225676,0.013721905066631734,0.02763476140085741
Jsoup_34,20251218_075532,20251218_075543,0.013884481095881807,0.013691585288263166,0.027576066384144973
JacksonDatabind_49,20251218_075532,20251218_075543,0.013920137743803851,0.013632329438693188,0.02755246718249704
Math_72,20251218_075532,20251218_075543,0.013768202330742385,0.01365875797837106,0.027426960309113443
Closure_156,20251218_075532,20251218_075543,0.013710431891193808,0.013459346257150173,0.02716977814834398
JacksonDatabind_102,20251218_075532,20251218_075543,0.01362349673858243,0.013474367867812764,0.027097864606395194
Csv_2,20251218_075532,20251218_075543,0.013666667635032548,0.013392769548761688,0.027059437183794235
JacksonDatabind_74,20251218_075532,20251218_075543,0.013643861666065904,0.01341260545088554,0.027056467116951442
Jsoup_39,20251218_075532,20251218_075543,0.013508016882536333,0.013365639046597919,0.026873655929134252
Mockito_34,20251218_075532,20251218_075543,0.013478193137282934,0.013279252450166278,0.026757445587449212
Mockito_22,20251218_075532,20251218_075543,0.013401791393591544,0.01317631041790646,0.026578101811498004
JacksonDatabind_100,20251218_075532,20251218_075543,0.013303045916734257,0.01307848689694461,0.026381532813678867
Math_92,20251218_075532,20251218_075543,0.013373695310057832,0.012982753454707563,0.026356448764765394
Mockito_33,20251218_075532,20251218_075543,0.013295979487180976,0.013055520811311025,0.026351500298492002
Closure_145,20251218_075532,20251218_075543,0.013382829636209959,0.01289775486016358,0.02628058449637354
Closure_10,20251218_075532,20251218_075543,0.013293400089333884,0.01298112450722243,0.026274524596556315
Math_68,20251218_075532,20251218_075543,0.013105566653976553,0.012993515136387699,0.02609908179036425
JxPath_5,20251218_075532,20251218_075543,0.013253608502717062,0.012752233627252751,0.026005842129969814
Mockito_12,20251218_075532,20251218_075543,0.013157978681157756,0.012797627604308252,0.025955606285466008
Lang_58,20251218_075532,20251218_075543,0.012981992877757476,0.01287446306738001,0.025856455945137486
JxPath_12,20251218_075532,20251218_075543,0.01293749309955472,0.012711802495071312,0.02564929559462603
JacksonDatabind_35,20251218_075532,20251218_075543,0.012859554472132828,0.012737981153741806,0.025597535625874634
Gson_11,20251218_075532,20251218_075543,0.012988388698223163,0.012517739615823448,0.02550612831404661
Closure_37,20251218_075532,20251218_075543,0.012893537361965413,0.012487266281055748,0.02538080364302116
JacksonDatabind_62,20251218_075532,20251218_075543,0.012694446645193702,0.012510470750470355,0.025204917395664057
Cli_20,20251218_075532,20251218_075543,0.012666390803332428,0.012489182286383335,0.025155573089715763
Mockito_16,20251218_075532,20251218_075543,0.012647990561902578,0.01244527760791511,0.02509326816981769
Math_52,20251218_075532,20251218_075543,0.012622236299510314,0.012455403212119232,0.025077639511629547
Closure_81,20251218_075532,20251218_075543,0.012623272615959413,0.012293243100476008,0.02491651571643542
Lang_41,20251218_075532,20251218_075543,0.012514465130468055,0.01236752163450577,0.024881986764973826
Math_94,20251218_075532,20251218_075543,0.012441866810047664,0.012344062629247839,0.0247859294392955
Compress_16,20251218_075532,20251218_075543,0.012452581022073694,0.012312335634071914,0.024764916656145608
Time_1,20251218_075532,20251218_075543,0.01237463875694056,0.012219846876779468,0.024594485633720027
